geoid,LATITUDE,LONGITUDE,Y,X
060014238002,37.854300999999765,-122.24491,4189918.2256773305,566426.3114898802
060014238003,37.85498399999977,-122.25036499999999,4189990.138486491,565945.8122773886
060014239011,37.85395199999977,-122.26424,4189865.9263730766,564726.106192179
060014239012,37.85162499999975,-122.26869499999998,4189604.6629090263,564336.2089230781
060014239021,37.85457599999976,-122.25432,4189942.083912676,565598.2453501966
060014239022,37.85429899999975,-122.25974799999999,4189907.5503070843,565120.9755726196
060014240011,37.85278599999977,-122.27519500000001,4189729.0185755887,563763.3668940655
060014240012,37.85141499999976,-122.27437200000001,4189577.466451169,563836.9519418644
060014240013,37.850108999999755,-122.27467500000002,4189432.35670143,563811.4208739168
060014240014,37.84773899999975,-122.275008,4189169.1742626186,563784.1660498431
060014240021,37.851738999999775,-122.282481,4189607.9014550583,563123.2789685996
060014240022,37.84886599999975,-122.280381,4189290.5598262986,563310.4842862984
060014251011,37.83733699999975,-122.30326199999999,4187996.1363957818,561306.9829501637
060014251012,37.838471999999754,-122.301577,4188123.1732499097,561454.3086738649
060014251021,37.84498199999976,-122.29520399999998,4188849.6780367624,562009.6255897264
060014251022,37.84116399999975,-122.296204,4188425.4027697053,561924.8345975972
060014251023,37.83659999999976,-122.292304,4187921.6149094594,562271.8249470214
060014251031,37.84450599999975,-122.29230699999998,4188798.7929324266,562264.9139943329
060014251032,37.84577999999974,-122.28947799999999,4188942.0349354674,562512.7454149665
060014251033,37.841930999999775,-122.28719600000001,4188516.5136214867,562716.7812990418
060014251041,37.83482499999976,-122.278571,4187733.9216078795,563481.7606619048
060014251042,37.83109599999977,-122.283456,4187316.8761053863,563055.0758936426
060014261001,37.82932299999975,-122.22958200000001,4187157.8933152743,567797.6194444188
060014261002,37.81824799999974,-122.228203,4185930.109761935,567929.1257999613
060014261003,37.81629599999975,-122.21831000000002,4185720.7713902164,568801.6759412247
060014261004,37.81951399999975,-122.234477,4186066.0311941183,567375.7653762838
060014261005,37.82520199999976,-122.22777499999998,4186701.975884498,567960.4193930281
060014261006,37.82141099999975,-122.22003499999998,4186287.018193655,568645.107640005
060014262001,37.827968999999776,-122.239921,4187000.211784684,566888.9851101594
060014262002,37.82226699999975,-122.239465,4186367.8945337427,566934.265089386
060014262003,37.82357399999978,-122.245902,4186508.315569773,566366.5695872343
060014271001,37.76702899999975,-122.236403,4180241.3992526084,567253.8124902196
060014271002,37.763246999999765,-122.22982899999998,4179826.532435122,567836.2809333487
060014271003,37.76339099999974,-122.228847,4179843.2217739234,567922.6446304991
060014272001,37.769019999999784,-122.24244100000001,4180457.9771289104,566720.2187751422
060014272002,37.77113199999976,-122.247481,4180688.7208833843,566274.441081962
060014272003,37.77326899999974,-122.2519,4180922.699508375,565883.3572676475
060014272004,37.774437999999776,-122.255281,4181050.0240712855,565584.563834245
060014272005,37.78311299999976,-122.250522,4182015.865606594,565995.963425915
060014273001,37.77591799999976,-122.26257799999999,4181209.138554993,564940.6411953105
060014273002,37.78102899999977,-122.26589,4181773.910412816,564644.5165660658
060014273003,37.77741499999975,-122.267496,4181371.827456691,564506.2335555787
060014273004,37.776019999999754,-122.273074,4181213.219358913,564016.2164845949
060014273005,37.77927899999976,-122.27427599999999,4181573.98374126,563907.5559643803
060014276001,37.77846799999976,-122.281926,4181478.8030510503,563234.5757470455
060014276002,37.77719099999977,-122.28310699999999,4181336.321933841,563131.6599602711
060014276003,37.77835599999976,-122.28958599999999,4181461.2249462698,562560.1113350221
060014277001,37.77355799999974,-122.278514,4180936.350756135,563539.2475149569
060014277002,37.77146999999977,-122.282034,4180702.3017775835,563231.0251196959
060014277003,37.77133399999977,-122.28848499999998,4180682.8712550025,562662.9950899254
060014277004,37.77491499999977,-122.28562299999999,4181082.1042862153,562912.0196652272
060014278001,37.77217599999976,-122.264557,4180792.590941483,564769.6238371232
060014278002,37.76911899999976,-122.267362,4180451.478016586,564525.2438624477
060014278003,37.77140999999977,-122.27257199999998,4180702.083320509,564064.4032816546
060014278004,37.77383299999976,-122.273998,4180969.9395023463,563936.7274841847
060014278005,37.77309799999974,-122.268186,4180892.3801256754,564449.2171995201
060014279001,37.76959699999974,-122.253792,4180513.9595878976,565719.9812089532
060014279002,37.76714399999975,-122.25879599999999,4180238.295150289,565281.4195331042
060014279003,37.76983599999977,-122.25863,4180537.0885360856,565293.6730109483
060014279004,37.77286099999976,-122.26137499999999,4180870.7999724397,565049.2626808928
060014279005,37.77177699999977,-122.25674799999999,4180753.758058663,565457.7149847205
060014280001,37.76641299999976,-122.244791,4180167.056561193,566515.5802145982
060014280002,37.767598999999755,-122.24953,4180295.284272951,566097.1276593913
060014281001,37.75642499999975,-122.229904,4179069.576662566,567835.9048944785
060014281002,37.759919999999745,-122.23381299999998,4179454.5201331372,567488.3898834363
060014281003,37.76137799999978,-122.23965799999999,4179612.0851030075,566972.21984743
060014281004,37.76380599999976,-122.23844499999998,4179882.3408834445,567076.8716908657
060014282001,37.75389499999976,-122.235526,4178784.812219265,567342.9623248043
060014282002,37.753437999999754,-122.243226,4178728.5944241486,566665.0648575905
060014282003,37.75748899999976,-122.244983,4179176.802140478,566506.6598354212
